evidence_id,source_id,file_id,page,table_or_figure_id,row_or_curve_label,excerpt,raw_value_text,extraction_method,candidate_file,candidate_row_id,reviewer_status
EVID_EXCEL_0001,EXCEL_REF_[1],FILE_EXCEL_SEED,,ML LPBF 718 Sheet1,4,"LPBF Vertical HP+ST+DA 3h at 1163 °C and 100 Mpa --> 954 °C followed by quenching, then dual-temperature precipitation ageing at 718 °C for 8 h, followed by furnace cooling to 621 °C and holding until a combined ageing time of 18 h was achieved.",UTS_MPa=1365; YS_MPa=1034; elongation_pct=28.7; hardness_HV=-,excel_seed_curated,excel_seed_mechanical_dataset.csv,1,curated_reviewed
EVID_EXCEL_0002,EXCEL_REF_[2],FILE_EXCEL_SEED,,ML LPBF 718 Sheet1,5,LBPF Vertical ST+DA,UTS_MPa=1434; YS_MPa=1190; elongation_pct=-; hardness_HV=-,excel_seed_curated,excel_seed_mechanical_dataset.csv,2,curated_reviewed
EVID_EXCEL_0003,EXCEL_REF_[4],FILE_EXCEL_SEED,,ML LPBF 718 Sheet1,6,LBPF Vertical ST+DA,UTS_MPa=1424; YS_MPa=-; elongation_pct=-; hardness_HV=481,excel_seed_curated,excel_seed_mechanical_dataset.csv,3,curated_reviewed
EVID_EXCEL_0005,EXCEL_REF_[5],FILE_EXCEL_SEED,,ML LPBF 718 Sheet1,8,LBPF Vertical ST - DA 1 h at 980C + air cool--> 8 h at 720C + furnace cool to 620C --> 8 h at 620C+Air-cooled to room temperature,UTS_MPa=1458; YS_MPa=1221; elongation_pct=6.2; hardness_HV=,excel_seed_curated,excel_seed_mechanical_dataset.csv,5,curated_reviewed
EVID_EXCEL_0006,EXCEL_REF_[5],FILE_EXCEL_SEED,,ML LPBF 718 Sheet1,9,"LBPF Vertical HP+DA 2 h of hot isostatic pressure at 1200C and 150 MPa + slow cool in HIP device --> 8 h at 720C + furnace cool to
620C --> 8 h at 620C+Air-cooled to room temperature",UTS_MPa=1426; YS_MPa=1060; elongation_pct=9.1; hardness_HV=,excel_seed_curated,excel_seed_mechanical_dataset.csv,6,curated_reviewed
EVID_EXCEL_0007,EXCEL_REF_[5],FILE_EXCEL_SEED,,ML LPBF 718 Sheet1,10,LBPF Vertical ST +DA 2 h at 1200C --> 8 h at 720C + furnace cool to 620C --> 8 h at 620C+Air-cooled to room temperature,UTS_MPa=1387; YS_MPa=1076; elongation_pct=7.5; hardness_HV=,excel_seed_curated,excel_seed_mechanical_dataset.csv,7,curated_reviewed
