file_id,source_id,local_path,filename,bytes,sha256,page_count,text_chars,table_count,acquisition_route,acquisition_date,download_status
FILE_NEW08,NEW08,ml_project/corpus_pdfs/NEW08_Laser_powder_bed_fused_Inconel_718_in_stress_relieved_and_solution_heat_treated_conditions.pdf,NEW08_Laser_powder_bed_fused_Inconel_718_in_stress_relieved_and_solution_heat_treated_conditions.pdf,37632944,8df89db42a3637b51edcb662b7c8ec19db2aea6e8ed05aa1c4d4f1de202cbfa8,16,73253,0,local_corpus,2026-07-01,available
FILE_NEW09,NEW09,ml_project/corpus_pdfs/NEW09_Outstanding_strength_ductility_synergy_in_Inconel_718_superalloy_via_laser_powder_bed_fusi.pdf,NEW09_Outstanding_strength_ductility_synergy_in_Inconel_718_superalloy_via_laser_powder_bed_fusi.pdf,24727299,a13c5737d8d760b36cdda34da4d2ea74bc7ebe2caebccfdad842cdab90235ce9,14,62849,0,local_corpus,2026-07-01,available
FILE_NEW10,NEW10,ml_project/corpus_pdfs/NEW10_Heat_treatment_for_selective_laser_melting_of_Inconel_718_alloy_with_simultaneously_enhanc.pdf,NEW10_Heat_treatment_for_selective_laser_melting_of_Inconel_718_alloy_with_simultaneously_enhanc.pdf,21889636,9a64ad23913ccb43950bfc293fdc60651272db26083029746ca79bf3235406d8,12,43861,0,local_corpus,2026-07-01,available
FILE_NEW11,NEW11,ml_project/corpus_pdfs/NEW11_The_microstructure_and_fatigue_performance_of_Inconel_718_produced_by_laser_based_powder.pdf,NEW11_The_microstructure_and_fatigue_performance_of_Inconel_718_produced_by_laser_based_powder.pdf,14469518,4ae5e4e554291ab99ccb6b8ed0c1bea5f268cc864bc5b1c306ad27296a3b4d8b,12,48273,0,local_corpus,2026-07-01,available
FILE_NEW12,NEW12,ml_project/corpus_pdfs/NEW12_metals_11_00144_v3.pdf,NEW12_metals_11_00144_v3.pdf,35345341,8d6804d82903de2f4ab24421acb145d31357d8a34f8be082ef6b9863446bf295,25,78965,0,local_corpus,2026-07-01,available
FILE_NEW13,NEW13,ml_project/corpus_pdfs/NEW13_caiazzo2020.pdf,NEW13_caiazzo2020.pdf,3779535,8ec764eb60b789ec8ea6db225beddf0ad01acef963b244be43f587131be61871,12,48208,1,local_corpus,2026-07-01,available
FILE_NEW14,NEW14,ml_project/corpus_pdfs/NEW14_materials_13_02574_v2.pdf,NEW14_materials_13_02574_v2.pdf,15629183,b6e46b70b37cdd45ec184882570309733389d45f3ebdc9cd054d7fe95628e656,23,111217,0,local_corpus,2026-07-01,available
FILE_NEW15,NEW15,ml_project/corpus_pdfs/NEW15_coatings_13_00189.pdf,NEW15_coatings_13_00189.pdf,8370613,c473e2e4f4843d5100d04e95752c1f97b319409e85aaf5a66ae1862d3660d227,12,56479,0,local_corpus,2026-07-01,available
FILE_NEW16,NEW16,ml_project/corpus_pdfs/NEW16_ssrn_4798171.pdf,NEW16_ssrn_4798171.pdf,8029165,3d4e8ba5b71903e535c1f3e189ed6eeec5741d303705a7f68e03992346c1ec78,28,49402,0,local_corpus,2026-07-01,available
FILE_NEW17,NEW17,ml_project/corpus_pdfs/NEW17_MARINO_THESIS_2022.pdf,NEW17_MARINO_THESIS_2022.pdf,9294838,4d3e3d00ac8817a1f2caa8645757f627d61e510db4cb917a135d48270bb7d5c3,120,127954,16,local_corpus,2026-07-01,available
FILE_OA04,OA04,ml_project/corpus_pdfs/OA04_Effect_of_Homogenization_and_Solution_Treatments_Time_on_Elevated_Temperature_Mechanical_Behavior_of_Inconel_718_Fabricated_by_LPBF.pdf,OA04_Effect_of_Homogenization_and_Solution_Treatments_Time_on_Elevated_Temperature_Mechanical_Behavior_of_Inconel_718_Fabricated_by_LPBF.pdf,5397959,f76046baf36c6fc3fb6c0ddc6748c4bb186e4d968264bdbb10dcfe0f8f721762,17,75289,2,local_corpus,2026-07-01,available
FILE_OA06,OA06,ml_project/corpus_pdfs/OA06_Influence_of_Heat_Treatment_on_High_Temperature_Performance_of_Inconel_718_Produced_via_LPBF.pdf,OA06_Influence_of_Heat_Treatment_on_High_Temperature_Performance_of_Inconel_718_Produced_via_LPBF.pdf,23402370,c669563967bf2f577f4ef636cad37e0637f10bb54176fe55a36a2239066c2490,17,65515,0,local_corpus,2026-07-01,available
FILE_OA08,OA08,ml_project/corpus_pdfs/OA08_DiVA_Alloy_718_SLM_thesis.pdf,OA08_DiVA_Alloy_718_SLM_thesis.pdf,5342174,1ef5d31ed82228986128a1608466e7b4c7bc2e73f9d2c765d994f0b46b46faf2,50,70770,3,local_corpus,2026-07-01,available
FILE_OA10,OA10,ml_project/corpus_pdfs/OA10_Tailoring_the_Strength_of_IN718_Supplementary_Materials.pdf,OA10_Tailoring_the_Strength_of_IN718_Supplementary_Materials.pdf,25225017,9fefcfd5edfe84720088aecaab7202e8ab6d7769d0f74978531f78458ab35d5a,28,103597,0,local_corpus,2026-07-01,available
FILE_OA12,OA12,ml_project/corpus_pdfs/OA12_Processing_of_Inconel_718_Matsuura_LUMEX_Research_Abstract.pdf,OA12_Processing_of_Inconel_718_Matsuura_LUMEX_Research_Abstract.pdf,5266744,81741f139e59f082633131642184c30012b290b49c5d34d968f3822a77246adf,30,79784,0,local_corpus,2026-07-01,available
