pdf,machine_term,n_hits_sampled,sample_excerpts
09_ScienceDirect_S0142112325002269.pdf,3DSystems,5,"Electropolishing LPBF nickel-based superalloy are relatively limited, which imposes is conducted at 0 ◦C and 30 V for approximately 60 s. Following pol- certain constraints on the application of machine learning for fatigue life ishing, the samples are immediately rinsed with anhydro || 0 MPa for R = 0.1. The fatigue test frequency phases. The metallographic structure under OM is shown in Fig. 2(a). is approximately 100 Hz. According to previous experimental experi- Compared to the as-built sample, the melt pool boundaries and layer ence, the vibration frequency usu || magnification of the crack nucleation area, the FCA is also found, mode that follows. as shown in Fig. 8(b). Due to the proximity of the crack nucleation site to The second internal failure mode is named “pore-assisted facet crack the specimen surface and the high temperature acceler || s of the fracture surfaces are facet crack nucleation”, as shown in Fig. 9. The full view of the frac- measured to be approximately 1053.34 μm, 3055.66 μm, 4558.84 μm, ture is shown in Fig. 9(a). Upon further magnification of the crack and 1785.23 μm for the four internal failure mod || lane intersecting the fracture surface can powder particles are observed. Based on the above analysis, the type of be approximated as a crack growth path, which reveals the crack defect is presumed to be lack of fusion (LoF). During the LPBF process, nucleation and growth process fro"
10_ScienceDirect_S0142112322005370.pdf,SLM_Solutions,3,"alculated using the formula [25] – Eq. 2.1. Laser powder bed fusion process (1): The samples are manufactured using the SLM 280 2.0 dual PBF-LB/M ΔF (2 + α) [ ] system (SLM Solutions Group AG, Germany) from Inconel 718 powder ΔK = t √̅ W ̅̅̅̅ (1 (cid:0) α)1.5 0.886 + 4.64α (cid:0) 13.32 || powder bed fusion process (1): The samples are manufactured using the SLM 280 2.0 dual PBF-LB/M ΔF (2 + α) [ ] system (SLM Solutions Group AG, Germany) from Inconel 718 powder ΔK = t √̅ W ̅̅̅̅ (1 (cid:0) α)1.5 0.886 + 4.64α (cid:0) 13.32α2 + 14.72α3 (cid:0) 5.6α4 . (1) supplied by SLM Soluti || el 718 powder ΔK = t √̅ W ̅̅̅̅ (1 (cid:0) α)1.5 0.886 + 4.64α (cid:0) 13.32α2 + 14.72α3 (cid:0) 5.6α4 . (1) supplied by SLM Solutions Group AG. The machine uses a fiber laser In Eq. (1), α is the normalized crack length, a/W with a as the actual (1070 nm) with a maximum power of 700 W and a f"
10_ScienceDirect_S0142112322005370.pdf,3DSystems,2,"per [10], fatigue lowest possible probability of unexpected failure. For this purpose, one curves of AM materials are approximated based on computer tomogra- of the primary recipients of LPBF technology, i.e., the aerospace in- phy data and experimental fatigue data. Using extreme va || CGR measurement stand. microsegregation. Variant H is characterized by a high number of annealing Ʃ3 twin boundaries (approx. 60% of all grain boundaries Gaussian filter is applied. According to the ISO 4288:1996 standard, λ c [21]), while in variant A, only some regions show anneali"
11_ScienceDirect_S074964192400264X.pdf,EOS,2,"PBF fabrication, whose chemical composition had been presented in our previous work (Ma et al., 2022). An LPBF machine (EOSINT M270D, EOS, Germany) equipped with a Yb fiber laser source was selected to fabricate an Inconel 718 block with dimensions of 60 mm × 45 mm × 2 ===== 11_Scienc || n, whose chemical composition had been presented in our previous work (Ma et al., 2022). An LPBF machine (EOSINT M270D, EOS, Germany) equipped with a Yb fiber laser source was selected to fabricate an Inconel 718 block with dimensions of 60 mm × 45 mm × 2 ===== 11_ScienceDirect_S07"
11_ScienceDirect_S074964192400264X.pdf,3DSystems,5,"amplitude was set as 405 MPa, the fatigue life of the machined specimens treated by HA1065 was lower than 104 cycles (approximately 2.8 h) according to our previous report (Wan et al., 2020). For the smooth LPBF-fabricated Inconel 718 specimen with a grain size of ~50 μm, when the ox || due to the recrystallization and grain growth. To display the grain orientation distribution of the HA1065 specimen, approximately 94 % of grains in Fig. 3(b) were divided into four types, 〈001〉, 〈101〉, 〈111〉 and 〈112〉, which were color- coded based on the misorientation between the || cy is proportional to the monotonic yield strength σ y, which depends on the stress ratio R. Due to R = 0.1, σ cy was approximately equal to σ y. Then, according to the work of Dai et al. (Dai et al., 2013a), considering the weakening of surface grains, σ y can be estimated based on || t is worth noting that the reduction in the t/d ratio from 8.8 (for the HA1065) to 6.2 (for the HA1100) represents an approximate decrease of 30 %. Based on the grain sizes of the HA1065 and HA1100 specimens, their critical thicknesses are 0.515 mm and 0.335 mm, respectively. This re || ir critical thicknesses are 0.515 mm and 0.335 mm, respectively. This reduction in critical thicknesses represents an approximate decrease of 35 %, which is considerable for thin-walled components. In other words, the HA1100 component can be permitted to be fabricated thinner than th"
12_ScienceDirect_S1044580323007453.pdf,EOS,1,rom 15 to 45 μm. Samples were additively manufacturing and the wrought materials. Sui el al. [18] manufactured using an EOS M280–5 3D printer in a nitrogen inert gas performed a direct aged precipitation treatment on the fabricated sam- atmosphere. The machine setup is confidential.
12_ScienceDirect_S1044580323007453.pdf,3DSystems,2,"here five samples were fatigue tested to surement. The error bars correspond to one standard deviation of uncertainty approximatively determine the maximum stress required to attain 5 × assuming a normal distribution. 104 cycles. This number of cycles were targeted to limit potential || Fig. 8 shows a dual by scanning electron microscopy did not indicate any significant change population of fractures, approximately at 4 × 104 cycles and 3 × in the microstructural state between unoxidized and oxidized samples. 105 cycles in average. Fractography observations of the"
13_SSRN_4475191.pdf,EOS,1,μm 67° 2nd layer e 40 μm 67° 1st layer r Figure 1: Scanning strategy used to print the fatigue specimens. r e using an EOS M280-5 3D printer in a nitrogen inert gas atmosphere. The 150 machine setup is confidential. Speecimens were printed following a contour 151 hatch scanning str
13_SSRN_4475191.pdf,3DSystems,2,"://ssrn.com/abstract=4475191 ===== 13_SSRN_4475191.pdf PAGE 16 ===== d e w where five samples were fatigue tested to approximatively determine the 300 maximum stress required to attain 5 × 104 cycles. This numeber of cycles 301 were targeted to limit potential fatigue runout after s || nic copy available at: https://ssrn.com/abstract=4475191 ===== 13_SSRN_4475191.pdf PAGE 25 ===== d e w of fractures, approximately at 4 × 104 cycles and 3 × 105 cycles in average. 386 Fractography observations of the tested fatigue samples reevealed surface 387 fatigue crack initiat"
15_ScienceDirect_S0142112323001512.pdf,3DSystems,2,"BF (AB 667 MPa; HT 363 MPa) Inconel different. The Young modulus observed on the LPBF sections of the 625. samples is approximately 210 GPa, versus approximately 150 GPa for The case of loading between σ min = 30 MPa and σ max = 300 MPa the DED in both states, as-built and treated. I || conel different. The Young modulus observed on the LPBF sections of the 625. samples is approximately 210 GPa, versus approximately 150 GPa for The case of loading between σ min = 30 MPa and σ max = 300 MPa the DED in both states, as-built and treated. It must be emphasized here (Fig"
OA04_Effect_of_Homogenization_and_Solution_Treatments_Time_on_Elevated_Temperature_Mechanical_Behavior_of_Inconel_718_Fabricated_by_LPBF.pdf,EOS,3,"gas-atomized IN718 powder with a particle size distribution of D10 (18.2 μm), D50 (32.4 μm) and D90 (54.2 μm) using an EOS M280 (EOS, Krailling, Ger- many) LPBF system equipped with a Yb:YAG 400 W fiber laser. A nominal chemical composition of the as- received IN718 powder is as fo || zed IN718 powder with a particle size distribution of D10 (18.2 μm), D50 (32.4 μm) and D90 (54.2 μm) using an EOS M280 (EOS, Krailling, Ger- many) LPBF system equipped with a Yb:YAG 400 W fiber laser. A nominal chemical composition of the as- received IN718 powder is as follows (wt. || powder is as follows (wt. %): Ni (49.19), Cr (19.04), Nb (4.92), Mo (2.70), Al (0.33), Ti (1.08) and Fe (balance). The EOS Original Parameter Set IN718_Surface 1.0 (285 W laser with 100 µm beam diameter, 1000 mm/s scanning speed, 110 µm hatching space, and 40 µm layer thickness, an"
OA04_Effect_of_Homogenization_and_Solution_Treatments_Time_on_Elevated_Temperature_Mechanical_Behavior_of_Inconel_718_Fabricated_by_LPBF.pdf,3DSystems,4,"served in17,27,28. It is worth mentioning that the calculated SF for the vertical as-printed samples reported in17 is approximately 0.47, which is consistent with that obtained in the present study. Generally, any of the five heat treatments applied significantly increased the tensil || ions. of LPBF, were divided by the LAGBs. After the 1 h homogenization treatment (HSA2), the columnar grains retained approximately the same LAGBs density as observed in Fig. 6b. Figure 6e shows the number fraction (NF) evolution of the HAGBs, LAGBs and the coincidence site lattice ( || time). This behavior can be explained by higher δ-phase precipitation along the grain boundaries after HSA2, with an approximate area fraction of ≈ 0.66%, than after HSA1 (≈ 0.16%), as shown in Fig. 7. It is worth mentioning that the area fraction of δ-phase in those heat treatment || rapid increase in the stress with strain is observed, followed by a steady stress stage, in which the stress remains approximately constant, and finally, the softening stage which proceeds till failure. Conversely, the flow stress of the 1 h homogenized conditions at 1080 °C (HSA1 a"
OA08_DiVA_Alloy_718_SLM_thesis.pdf,EOS,1,"ence at Filton, UK, for component non-destructive expertise followed by a cut-up. The panel had been manufactured in an EOS M290 machine. It was a development build for design optimization from untested/unqualified alloy 718 gas atomized powder. This powder was a mixture of residual"
OA10_Tailoring_the_Strength_of_IN718_Supplementary_Materials.pdf,EOS,4,"[43], Farsoon 271 M [28], Concept Laser M2 [45], ment (HIP + DA): on average to 0.03 %. An increase in the porosity of EOSINT M270 [6], EOS M280 [39], EOS M290 [38] and EOS M400 [40]. HIP samples after subsequent DA annealing was also observed by Deng In terms of absolute porosity, ou || 1 M [28], Concept Laser M2 [45], ment (HIP + DA): on average to 0.03 %. An increase in the porosity of EOSINT M270 [6], EOS M280 [39], EOS M290 [38] and EOS M400 [40]. HIP samples after subsequent DA annealing was also observed by Deng In terms of absolute porosity, our material-den || pt Laser M2 [45], ment (HIP + DA): on average to 0.03 %. An increase in the porosity of EOSINT M270 [6], EOS M280 [39], EOS M290 [38] and EOS M400 [40]. HIP samples after subsequent DA annealing was also observed by Deng In terms of absolute porosity, our material-density-optimized || ment (HIP + DA): on average to 0.03 %. An increase in the porosity of EOSINT M270 [6], EOS M280 [39], EOS M290 [38] and EOS M400 [40]. HIP samples after subsequent DA annealing was also observed by Deng In terms of absolute porosity, our material-density-optimized set Ev, et al.: th"
OA10_Tailoring_the_Strength_of_IN718_Supplementary_Materials.pdf,ConceptLaser,3,"Such an anisotropy typically complicates the design and sizing of of components. Especially in LPBF, whence the heat A Concept Laser M2 machine (Concept Laser GmbH, Lichtenfels, dissipation can follow the actual geometry of the printed parts to the Germany) equipped with a 200 W diode-pumped || lly complicates the design and sizing of of components. Especially in LPBF, whence the heat A Concept Laser M2 machine (Concept Laser GmbH, Lichtenfels, dissipation can follow the actual geometry of the printed parts to the Germany) equipped with a 200 W diode-pumped ytterbium fibre laser, ba || 80HL However, the porosity clearly increased with subsequent DA treat- ([19,48]), Realiser II [43], Farsoon 271 M [28], Concept Laser M2 [45], ment (HIP + DA): on average to 0.03 %. An increase in the porosity of EOSINT M270 [6], EOS M280 [39], EOS M290 [38] and EOS M400 [40]. HIP samples aft"
OA10_Tailoring_the_Strength_of_IN718_Supplementary_Materials.pdf,SLM_Solutions,3,"machines, laser sources, and optics used, 0.27 % to 0.02 % and 0.06 % for P = 250 W and 950 W, respectively). including SLM Solutions 250HL ([35,36,44]), SLM Solutions 280HL However, the porosity clearly increased with subsequent DA treat- ([19,48]), Realiser II [43], Farsoon 271 M [28], Conc || s used, 0.27 % to 0.02 % and 0.06 % for P = 250 W and 950 W, respectively). including SLM Solutions 250HL ([35,36,44]), SLM Solutions 280HL However, the porosity clearly increased with subsequent DA treat- ([19,48]), Realiser II [43], Farsoon 271 M [28], Concept Laser M2 [45], ment (HIP + DA) || Fig. 11 can be divided into two groups depending the 250 W as well as 0.27 % for a set developed around P = 950 W on a SLM Solutions 280HL setup. use of double aging (DA). Both groups can be separated by the dashed line, splitting them according to yield strengths and ultimate tensile Althou"
OA10_Tailoring_the_Strength_of_IN718_Supplementary_Materials.pdf,3DSystems,5,"lored process chains for specific application requirements. 1. Introduction resistance at elevated temperatures up to approximately 650–700 ◦C [10–13]. Additive manufacturing (AM) techniques such as Laser-based Pow- The microstructures of LPBF materials including grain morphology der || in Fig. 3 together package AnalySIS [59]. with the thermal treatment curves. The cross-sectional areas examined were approximately 9.5 × 9.5 The double aging (DA) was carried out in the furnace at 720 ◦C for 8 mm2 for each sample, and 3 different parallel sections of each sample h b || These comb-type specimens were built in different horizon- of ~ 30 to ~ 100 J/mm3. Notably, at hatch distances below approxi- tal directions of 0◦, 45◦ and 90◦ (Fig. S4 (b)) with respect to the mately 60 µm, porosity is consistently very low and shows a minimal recoating and gas flo || k and the AB material with phase As the section parallel to the BD is cut at an angle of 45◦ to the scan fractions of approximately 2 wt% (Fig. 7 (a, b)). Both the powder and the direction (Fig. 9), the preferred 〈 001〉 orientation in the scan direction AB material contain very small || ies (Fig. 5 (h)). The results of the HEXRD analysis indicate a notable in- BD) crease in the phase fraction of γ’’ to approximately 8 wt% and a sig- nificant lattice mismatch between γ and γ’’ (Fig. 7 (e)). approximately 1 wt% of δ phase was confirmed by EDS (Fig. 6 (a)) and HEXRD (F"
OA12_Processing_of_Inconel_718_Matsuura_LUMEX_Research_Abstract.pdf,3DSystems,3,"near roughness parameters of R and R of the a z AB surfaces were 5.24 µm and 30.94 µm, respectively. After machining, approximately 90% of reduction was observed in both parameters to 0.66 µm and 4.05 µm. Areal roughness parameters also revealed a similar trend. Surface roughness par || nsity of 99.6% and 99.9%, respectively. The µ-CT analysis revealed that the total pore volume in the analyzed volume (approxi- mately 24 mm3) of the samples varied between 0.003 to 0.008%. Hence, the relative density of the specimens calculated from the µ-CT analysis was 99.9% simila || ple colonies distributed over the fracture area (Figure 16g). However, in this specimen, flat areas with small voids, approximately the same size as the δ needles, were observed as shown in the inset image. These voids suggest that decohesion between the δ needles and the matrix occu"
OA12_Processing_of_Inconel_718_Matsuura_LUMEX_Research_Abstract.pdf,Matsuura,5,"===== OA12_Processing_of_Inconel_718_Matsuura_LUMEX_Research_Abstract.pdf PAGE 1 ===== 3.748 Article In Envelope Additive/Subtractive Manufacturing and Thermal Post- Processing of Inconel 718 Sila Ece Atab || ===== OA12_Processing_of_Inconel_718_Matsuura_LUMEX_Research_Abstract.pdf PAGE 1 ===== 3.748 Article In Envelope Additive/Subtractive Manufacturing and Thermal Post- Processing of Inconel 718 Sila Ece Atabay, Pr || Dr. Tomasz Tański and Dr. Przemysław Snopiński https://doi.org/10.3390/ma16010001 ===== OA12_Processing_of_Inconel_718_Matsuura_LUMEX_Research_Abstract.pdf PAGE 2 ===== materials Article In Envelope Additive/Subtractive Manufacturing and Thermal Post-Processing of Inconel 718 Sila Ece A || z Tański and Dr. Przemysław Snopiński https://doi.org/10.3390/ma16010001 ===== OA12_Processing_of_Inconel_718_Matsuura_LUMEX_Research_Abstract.pdf PAGE 2 ===== materials Article In Envelope Additive/Subtractive Manufacturing and Thermal Post-Processing of Inconel 718 Sila Ece Atabay || Brochu 4 1 National Research Council Canada, Transportation and Manufacturing Division, Montréal, QC H3T 1J4, Canada 2 Matsuura Machinery USA Inc., St. Paul, MN 55102, USA 3 Department of National Defence, Directorate of Technical Airworthiness and Engineering Support (DTAES), Ottawa, O"
