pdf,machine_term,n_hits_sampled,sample_excerpts
01_ScienceDirect_S0142112319304967.pdf,ConceptLaser,4,ting beam and bending fatigue for application to the design and analysis of structures All samples were fabricated on a Concept Laser M2 Cusing model in aerospace systems and several published accounts of fatigue testing using a hatch spacing of 105 µm and a layer thickness of 30 µm. Part of || bending fatigue for application to the design and analysis of structures All samples were fabricated on a Concept Laser M2 Cusing model in aerospace systems and several published accounts of fatigue testing using a hatch spacing of 105 µm and a layer thickness of 30 µm. Part of AM 718 hav || properties of Inconel 718 pro- specimen orientations and the general lack of texture or grain aspect duced on the same Concept Laser M2 and HIP’ed and heat treated using ratio with respect to the build direction. the same schedules as the fatigue specimens has been previously re- ported for || encompassing five different locations among the six samples. 3.4. Fatigue crack origination features and locations The Concept Laser M2 equipment used to make these samples was operated so that a 90° offset between subsequent layers was used with Identification of fracture origins in these s
01_ScienceDirect_S0142112319304967.pdf,3DSystems,5,"Inconel 718 occur only when thermal cycle fatigue behavior of a wide range of alloys prepared by additive exposure is approximately 1100 °C or higher [11,12], meaning that AM manufacturing [2–8]. Various contributing factors to the observed fa- 718 alloy that is stress relieved below || e printed to slightly oversize dimensions (e.g., 483 MPa and R = 0.1 or 345 ksi and R = −1) to evaluate the variation approximately 0.5 mm larger gauge section diameter) and machined to in fatigue life near 106 cycles due to as-built LPBF surfaces. In addition final dimensions that w || specimen orientation. Fig. 3a and 3b show the interior of the specimen or −1 based on the S-N curve. This was at Smax approximately 10% for X-Y (normal to the build direction) and Z plane (parallel to the build higher than the estimated fatigue limit at 107 cycles based on the initia || allows, a fatigue limit is es- without specimen failure were suspended. A single cycle was counted as timated as the approximate maximum stress for a given condition as- consisting of beginning at maximum load, unloading to minimum load, sociated with run out at 107 cycles without f || y of samples tested at 482 MPa in Fig. 8 additional tests were performed with loads intended to target ap- and Table 3. proximately 106 to 2·106 cycles to failure. As can be seen in Fig. 5, there The fatigue limit (at 107 cycles) for Smax 482 MPa and R = 0.1 was is a very narrow rang"
02_AerospaceMfg_improving-fatigue-life.pdf,Renishaw,1,"eck out more from this issue and find your next story to read. VIEW MORE Latest from Aerospace Manufacturing and Design Renishaw to showcase additive manufacturing, encoders, and metrology solutions at AUVSI XPONENTIAL 2026 Preceramic resin system Repeatable Workholding for Aerospace Pre"
02_AerospaceMfg_improving-fatigue-life.pdf,3DSystems,1,s indicate a run-out condition in which the specimen didn’t fail. The fatigue life for the AM untreated condition was approximately 10% of the conventionally forged condition. Both LPB and shot peening significantly improved the fatigue properties of the AM material with LPB producin
03_MDPI_metals-16-00057.pdf,3DSystems,4,"f the IN718 alloy. Initially, the material was heated in an LPG furnace to 1050 ◦C, with a controlled heating rate of approximately 216.8 ◦C per hour, the temperature being monitored by a certified optical pyrometer. Then, the anvil forging process in an open mold furnace took place || l measurements on a representative sample containing 100 randomly selected particles. The average size determined was approximately 31 µm, with limit values between 18 µm and 48 µm. These dimensional data indicate that the powder used was within the grain size range recommended by th || ct. Figure 13c illustrates a second, smaller defect located close to the surface of the specimen. Although smaller, its proximity to the surface makes it particularly critical as it can facilitate crack nucleation under cyclic loading. Figure 13d shows details of the morphology of th || ation under cyclic loading. Figure 13d shows details of the morphology of these particles, with sizes ranging between approximately 18.9 µm and 19.7 µm, compatible with the granulometry of the metallic powder used in the process. The presence of partially fused particles indicates in"
04_Mackenzie_RafaelEringerCubi_thesis.pdf,3DSystems,3,"do Gruberg et al, a partir da análise da quantidade de defeitos gerados pelo processamento de FSL é possível prever com proximidade o comportamento em fadiga resultante. Para isso os defeitos são divididos em dois tipos: defeitos homogêneos (poros) e defeitos de maior volume (lacunas || em sua maioria, e o tamanho de partícula ideal para um bom processamento via FSL segundo a literatura, que deve estar aproximadamente entre 15 e 60 m [9, 20]. O pó de IN718 foi preparado para análise em microscópio óptico. Uma pequena porção do pó metálico foi misturada em uma quan || almente a liga foi aquecida em forno GLP até a temperatura de 1050 ºC. A taxa de aquecimento do material foi mantida a aproximadamente 216,8 ºC por hora, e todo o processo foi acompanhado com pirômetro ótico, certificado CR-09544/15 e identificado como TI-001. ===== 04_Mackenzie_Raf"
06_AdditiveMfg_S2214860420308149.pdf,EOS,4,"ements) of gas atomized IN718 synergistic effect in enhancing the fatigue performance of L-PBF IN718 powder supplied by EOS-GmbH. parts [26]. A number of investigations of the AM IN718 fatigue per- formance have also been reported [16,27–30] considering different Ni Cr Mo Nb Ti Al F || ’ fatigue per- formance improvements have been carried out using ultrasonic shot Gas atomized IN718 powder, supplied by EOS-GmbH with an peening/impact treatment [17] deep cold rolling [18], shot peening average diameter of approximately 30 μm with sizes in the range of [17,19,20] a || in Table 1. by employing the surface engineering process at intermediate stages of L-PBF process was carried out using EOSINT® M290 with the laser the build (i.e. inter-layer processing) [23–25]. power fixed at 285 W at a scanning speed of 960 mm/s. Near-net shape 2 ===== 06_Additive || s. Table 2 Specimens condition and details of their preparation route. No. Designation Condition Details 1 P As-printed EOSINT® M290, 40 μm layer thickness, 100 μm beam size, 285 W, 960 mm/s scanning speed, 67° rotation applied at each layer. 2 H Solution annealed and aged Solution hea"
06_AdditiveMfg_S2214860420308149.pdf,3DSystems,5,"surface, as evident from the location of the sub-surface crack initiations near the residual stress transition region approximately 300 μm from the free surface. In this case, detrimental effects arising from tensile stresses appear to have outweighed the benefits from compressive st || , supplied by EOS-GmbH with an peening/impact treatment [17] deep cold rolling [18], shot peening average diameter of approximately 30 μm with sizes in the range of [17,19,20] and laser shock peening [21–23]. Some of these techniques 19.85 (D ) to 52.12 μm to (D ) was used as the pow || olution annealed and aged Solution heat treatment at 980 °C for 1 h, followed by air cool (cooling rate of 100 °C/min approx.) Aging heat treatment at 720 °C for 8 h, furnace cool to 620 °C in 2 h, hold at 620 °C for 8 h, followed by air cool (cooling rate of 100 °C/min approx.) 3 H || 0 °C for 8 h, furnace cool to 620 °C in 2 h, hold at 620 °C for 8 h, followed by air cool (cooling rate of 100 °C/min approx.) 3 H + HIP Solution annealed, aged and HIP-ed H +980 °C for 4 h at 100 MPa followed by rapid cooling at approx. 42 °C/min. 4 H + SP Solution annealed, aged an || C/min approx.) 3 H + HIP Solution annealed, aged and HIP-ed H +980 °C for 4 h at 100 MPa followed by rapid cooling at approx. 42 °C/min. 4 H + SP Solution annealed, aged and shot peened H + shot peening at 0.45 mmA, 200 % coverage and ASH230 media 5 H + HIP + SP Solution annealed, ag"
07_HAL_SP_Effect_on_brut_FA.pdf,EOS,1,er was provided by 150 Praxair with a diameter ranging from 15 to 45 (cid:181)m. Samples were manufactured 151 using an EOS M280-5 3D printer in a nitrogen inert gas atmosphere. The 152 machine setup is confidential. Specimens were printed following a contour 153 hatch scanning stra
07_HAL_SP_Effect_on_brut_FA.pdf,3DSystems,2,"samples were fatigue tested per condition, except for the AM condition 301 where five samples were fatigue tested to approximatively determine the 302 maximum stress required to attain 5 × 104 cycles. This number of cycles 303 were targeted to limit potential fatigue runout after sh || corresponds to the AB and AM surface conditions 24 ===== 07_HAL_SP_Effect_on_brut_FA.pdf PAGE 26 ===== of fractures, approximately at 4 × 104 cycles and 3 × 105 cycles in average. 388 Fractography observations of the tested fatigue samples revealed surface 389 fatigue crack initiati"
09_ScienceDirect_S0142112325002269.pdf,EOS,1,"nd 31 µm, respectively. LPBF machine is and it is not the largest defect that dominates the failure [27]. In addi- GmbH EOS M280, and the LPBF process is shown schematically in Fig. 1 tion, under high-cycle fatigue loading at 650 ◦C, fatigue cracks also tend (b) with the following k"
