source_id,pdf,source_page,target_ids,review_reason,local_review_image,render_status
SRC001,01_ScienceDirect_S0142112319304967.pdf,1,,verify_registered_figures_before_digitisation,ml_project/figures/sn_review_pages/01_ScienceDirect_S0142112319304967/p001.png,rendered
SRC001,01_ScienceDirect_S0142112319304967.pdf,2,,verify_registered_figures_before_digitisation,ml_project/figures/sn_review_pages/01_ScienceDirect_S0142112319304967/p002.png,rendered
SRC001,01_ScienceDirect_S0142112319304967.pdf,8,SN_SRC001_P08,registered_sn_target,ml_project/figures/sn_review_pages/01_ScienceDirect_S0142112319304967/p008.png,rendered
SRC002,02_AerospaceMfg_improving-fatigue-life.pdf,2,SN_SRC002_P02,registered_sn_target,ml_project/figures/sn_review_pages/02_AerospaceMfg_improving-fatigue-life/p002.png,rendered
SRC003,03_MDPI_metals-16-00057.pdf,1,,verify_registered_figures_before_digitisation,ml_project/figures/sn_review_pages/03_MDPI_metals-16-00057/p001.png,rendered
SRC003,03_MDPI_metals-16-00057.pdf,2,,verify_registered_figures_before_digitisation,ml_project/figures/sn_review_pages/03_MDPI_metals-16-00057/p002.png,rendered
SRC003,03_MDPI_metals-16-00057.pdf,15,SN_SRC003_P15,registered_sn_target,ml_project/figures/sn_review_pages/03_MDPI_metals-16-00057/p015.png,rendered
SRC004,04_Mackenzie_RafaelEringerCubi_thesis.pdf,7,,inspect_unregistered_sn_pages,ml_project/figures/sn_review_pages/04_Mackenzie_RafaelEringerCubi_thesis/p007.png,rendered
SRC004,04_Mackenzie_RafaelEringerCubi_thesis.pdf,8,,inspect_unregistered_sn_pages,ml_project/figures/sn_review_pages/04_Mackenzie_RafaelEringerCubi_thesis/p008.png,rendered
SRC005,05_Wiley_ffe14163_SanchezCamargo2023.pdf,1,,inspect_unregistered_sn_pages,ml_project/figures/sn_review_pages/05_Wiley_ffe14163_SanchezCamargo2023/p001.png,rendered
SRC005,05_Wiley_ffe14163_SanchezCamargo2023.pdf,2,,inspect_unregistered_sn_pages,ml_project/figures/sn_review_pages/05_Wiley_ffe14163_SanchezCamargo2023/p002.png,rendered
SRC006,06_AdditiveMfg_S2214860420308149.pdf,1,,verify_registered_figures_before_digitisation,ml_project/figures/sn_review_pages/06_AdditiveMfg_S2214860420308149/p001.png,rendered
SRC006,06_AdditiveMfg_S2214860420308149.pdf,2,,verify_registered_figures_before_digitisation,ml_project/figures/sn_review_pages/06_AdditiveMfg_S2214860420308149/p002.png,rendered
SRC006,06_AdditiveMfg_S2214860420308149.pdf,12,SN_SRC006_P12,registered_sn_target,ml_project/figures/sn_review_pages/06_AdditiveMfg_S2214860420308149/p012.png,rendered
SRC007,07_HAL_SP_Effect_on_brut_FA.pdf,1,,inspect_unregistered_sn_pages,ml_project/figures/sn_review_pages/07_HAL_SP_Effect_on_brut_FA/p001.png,rendered
SRC007,07_HAL_SP_Effect_on_brut_FA.pdf,2,,inspect_unregistered_sn_pages,ml_project/figures/sn_review_pages/07_HAL_SP_Effect_on_brut_FA/p002.png,rendered
SRC008,08_ResearchGate_annealing_Inconel718.pdf,1,,verify_registered_figures_before_digitisation,ml_project/figures/sn_review_pages/08_ResearchGate_annealing_Inconel718/p001.png,rendered
SRC008,08_ResearchGate_annealing_Inconel718.pdf,2,,verify_registered_figures_before_digitisation,ml_project/figures/sn_review_pages/08_ResearchGate_annealing_Inconel718/p002.png,rendered
SRC008,08_ResearchGate_annealing_Inconel718.pdf,9,SN_SRC008_P09,registered_sn_target,ml_project/figures/sn_review_pages/08_ResearchGate_annealing_Inconel718/p009.png,rendered
SRC009,09_ScienceDirect_S0142112325002269.pdf,1,,verify_registered_figures_before_digitisation,ml_project/figures/sn_review_pages/09_ScienceDirect_S0142112325002269/p001.png,rendered
SRC009,09_ScienceDirect_S0142112325002269.pdf,2,,verify_registered_figures_before_digitisation,ml_project/figures/sn_review_pages/09_ScienceDirect_S0142112325002269/p002.png,rendered
SRC009,09_ScienceDirect_S0142112325002269.pdf,7,SN_SRC009_P07,registered_sn_target,ml_project/figures/sn_review_pages/09_ScienceDirect_S0142112325002269/p007.png,rendered
SRC009,09_ScienceDirect_S0142112325002269.pdf,13,SN_SRC009_P13,registered_sn_target,ml_project/figures/sn_review_pages/09_ScienceDirect_S0142112325002269/p013.png,rendered
SRC009,09_ScienceDirect_S0142112325002269.pdf,15,SN_SRC009_P15,registered_sn_target,ml_project/figures/sn_review_pages/09_ScienceDirect_S0142112325002269/p015.png,rendered
SRC010,10_ScienceDirect_S0142112322005370.pdf,1,,inspect_unregistered_sn_pages,ml_project/figures/sn_review_pages/10_ScienceDirect_S0142112322005370/p001.png,rendered
SRC010,10_ScienceDirect_S0142112322005370.pdf,2,,inspect_unregistered_sn_pages,ml_project/figures/sn_review_pages/10_ScienceDirect_S0142112322005370/p002.png,rendered
SRC011,11_ScienceDirect_S074964192400264X.pdf,1,,complete_registered_figure_snips_and_metadata,ml_project/figures/sn_review_pages/11_ScienceDirect_S074964192400264X/p001.png,rendered
SRC011,11_ScienceDirect_S074964192400264X.pdf,2,,complete_registered_figure_snips_and_metadata,ml_project/figures/sn_review_pages/11_ScienceDirect_S074964192400264X/p002.png,rendered
SRC011,11_ScienceDirect_S074964192400264X.pdf,13,SN_SRC011_P13,registered_sn_target,ml_project/figures/sn_review_pages/11_ScienceDirect_S074964192400264X/p013.png,rendered
SRC011,11_ScienceDirect_S074964192400264X.pdf,14,SN_SRC011_P14,registered_sn_target,ml_project/figures/sn_review_pages/11_ScienceDirect_S074964192400264X/p014.png,rendered
SRC012,12_ScienceDirect_S1044580323007453.pdf,1,,verify_registered_figures_before_digitisation,ml_project/figures/sn_review_pages/12_ScienceDirect_S1044580323007453/p001.png,rendered
SRC012,12_ScienceDirect_S1044580323007453.pdf,2,,verify_registered_figures_before_digitisation,ml_project/figures/sn_review_pages/12_ScienceDirect_S1044580323007453/p002.png,rendered
SRC012,12_ScienceDirect_S1044580323007453.pdf,6,SN_SRC012_P06,registered_sn_target,ml_project/figures/sn_review_pages/12_ScienceDirect_S1044580323007453/p006.png,rendered
SRC013,13_SSRN_4475191.pdf,1,,inspect_unregistered_sn_pages,ml_project/figures/sn_review_pages/13_SSRN_4475191/p001.png,rendered
SRC013,13_SSRN_4475191.pdf,2,,inspect_unregistered_sn_pages,ml_project/figures/sn_review_pages/13_SSRN_4475191/p002.png,rendered
SRC015,15_ScienceDirect_S0142112323001512.pdf,1,,verify_registered_figures_before_digitisation,ml_project/figures/sn_review_pages/15_ScienceDirect_S0142112323001512/p001.png,rendered
SRC015,15_ScienceDirect_S0142112323001512.pdf,2,,verify_registered_figures_before_digitisation,ml_project/figures/sn_review_pages/15_ScienceDirect_S0142112323001512/p002.png,rendered
